
The number of Frequencies is 42

Test density of states: n-pentyl

    200         108573         109302         107018
    300   1.10467e+006   1.11471e+006   1.10416e+006
    400   9.47551e+006   9.57881e+006   9.52754e+006
    500   7.51875e+007    7.6118e+007   7.58565e+007
    600   5.66164e+008   5.73865e+008   5.72494e+008
    700   4.05869e+009    4.1181e+009   4.11086e+009
    800    2.7655e+010   2.80843e+010   2.80465e+010
    900   1.78827e+011   1.81741e+011   1.81547e+011
   1000   1.09676e+012   1.11537e+012    1.1144e+012
   1100   6.38153e+012   6.49356e+012   6.48894e+012
   1200   3.52578e+013   3.58953e+013   3.58738e+013
   1300   1.85209e+014   1.88644e+014   1.88548e+014
   1400   9.26437e+014   9.43992e+014   9.43577e+014
   1500   4.42035e+015   4.50501e+015   4.50328e+015
   1600   2.01539e+016    2.0529e+016    2.0522e+016
   1700   8.79654e+016   8.93504e+016   8.93237e+016
   1800   3.68218e+017   3.70915e+017   3.70816e+017
   1900   1.48086e+018   1.46386e+018   1.46351e+018
   2000   5.73182e+018   5.46856e+018   5.46738e+018
   2100   2.13881e+019   1.92545e+019   1.92507e+019
   2200    7.7065e+019   6.36949e+019   6.36836e+019
   2300   2.68545e+020   1.97677e+020   1.97645e+020
   2400   9.06342e+020   5.75679e+020   5.75593e+020
   2500   2.96684e+021   1.57569e+021   1.57548e+021
   2600   9.43191e+021   4.06388e+021   4.06337e+021
   2700   2.91581e+022   9.90732e+021   9.90615e+021
   2800   8.77591e+022   2.29092e+022   2.29067e+022
   2900   2.57449e+023   5.04231e+022   5.04179e+022
   3000   7.36922e+023   1.06003e+023   1.05993e+023

Normalization constants
47050.5 0.279652
47150.5 0.279661
47250.5 0.27967
47350.5 0.279679
47450.5 0.279688
47550.5 0.279697
47650.5 0.279706
47750.5 0.279715
47850.5 0.279723
47950.5 0.279732
48050.5 0.279741
48150.5 0.27975
48250.5 0.279758
48350.5 0.279767
48450.5 0.279776
48550.5 0.279784
48650.5 0.279793
48750.5 0.279801
48850.5 0.27981
48950.5 0.279818
49050.5 0.279827
49150.5 0.279835
49250.5 0.279843
49350.5 0.279852
49450.5 0.27986
49550.5 0.279868
49650.5 0.279877
49750.5 0.279885
49850.5 0.279894
49950.5 0.279904
50050.5 0.279918
50150.5 0.279949
50250.5 0.280039
50350.5 0.280346
50450.5 0.281443
50550.5 0.285421
50650.5 0.29989
50750.5 0.352593

Column Sums

5.95054e-016
-5.69624e-016
3.82942e-016
3.83131e-017
-1.50372e-016
1.51885e-017
-1.97209e-016
-3.50888e-017
4.70302e-017
3.58155e-017
-1.36188e-016
2.02166e-017
2.14501e-016
1.61066e-016
-4.0013e-017
9.35119e-017
-5.58008e-017
-7.47149e-017
-8.72296e-017
1.61626e-018
2.07621e-016
-5.07821e-017
1.1336e-016
1.4472e-016
-8.29058e-017
2.48569e-016
4.98023e-017
-6.18745e-017
-4.88377e-017
2.42784e-016
-1.96377e-018
1.91509e-016
1.66194e-016
2.1087e-016
-1.72699e-016
9.12466e-018
1.37018e-016
2.84857e-017
-2.33605e-016
4.12516e-017
9.55206e-017
-2.09059e-016
-1.32955e-016
-2.44076e-017
9.59074e-017
-1.68348e-016
-7.4625e-017
3.08352e-017
-1.81312e-016
3.40003e-016
-2.71164e-017
5.69577e-018
-8.10089e-017
7.75934e-017
5.37419e-017
1.74227e-016
-5.63554e-017
1.48144e-016
-3.80848e-017
1.27735e-017
-9.91473e-017
3.11715e-016
-1.96241e-017
4.98664e-017
-7.77499e-017
6.76748e-017
2.8966e-017
-3.78708e-017
2.17557e-016
-1.24061e-016
-1.49454e-017
1.38426e-016
-6.12818e-017
1.07752e-016
7.9978e-017
-8.80815e-017
7.70529e-017
2.71516e-017
1.66814e-016
-1.17739e-016
5.03781e-017
4.83309e-017
-5.48243e-017
2.70004e-018
8.21645e-017
2.53637e-017
4.07753e-017
1.666e-017
4.28425e-017
1.42357e-016
2.6664e-017
1.92212e-016
-1.68454e-017
1.57362e-016
-6.1937e-017
-2.73846e-017
1.35259e-016
-1.42825e-016
1.05692e-016
7.11959e-017
-3.43337e-018
2.10221e-016
-1.37795e-017
5.71248e-017
-1.112e-016
1.02925e-019
-4.45149e-017
1.43378e-016
1.33911e-017
2.03346e-017
6.63232e-017
-8.10319e-017
5.29592e-017
8.22891e-017
2.2466e-016
3.31055e-017
-5.12876e-017
-2.6863e-016
-1.09732e-016
-5.31409e-017
-6.15586e-017
1.24686e-016
1.9481e-016
-1.69491e-016
8.10931e-017
-2.56425e-017
8.36399e-017
-4.77686e-017
-1.49856e-016
-1.59728e-017
2.77239e-017
6.83488e-017
-2.26006e-017
1.08016e-016
-1.55373e-016
1.70304e-016
-1.0859e-016
9.33048e-017
-2.23227e-016
-6.40877e-017
4.69611e-017
3.03368e-017
5.35698e-017
-2.15729e-018
1.61523e-016
1.83013e-016
4.07663e-017
8.18653e-017
-1.31857e-018
1.2674e-016
5.49576e-017
-1.4663e-016
5.86472e-017
-1.59517e-017
2.01685e-016
-4.95099e-017
-9.78822e-017
-2.11868e-017
-7.31534e-017
-1.59424e-016
2.8779e-017
-3.72937e-017
-3.67966e-017
9.20329e-017
-7.90004e-017
1.99276e-016
-4.8574e-017
5.97455e-017
4.44213e-018
6.56169e-017
3.20658e-017
2.96859e-018
-1.33625e-016
5.04363e-017
-4.88711e-017
-2.39691e-018
6.79283e-017
8.59508e-017
3.22172e-017
2.73314e-017
3.97052e-017
1.22831e-016
-4.97269e-017
-2.19388e-016
-3.84942e-017
-1.33094e-016
9.62417e-017
-2.8336e-017
-3.34176e-017
-8.2045e-017
-6.37199e-017
-1.17513e-016
5.67852e-017
1.47544e-017
-7.76361e-017
-1.79282e-017
-1.7546e-016
7.72853e-017
1.73226e-016
-6.66599e-017
-8.86975e-017
1.98553e-016
-1.35074e-016
1.0141e-016
2.40922e-017
1.09629e-016
4.19398e-017
-1.17467e-016
-5.17408e-017
5.28246e-017
2.53205e-016
2.01437e-016
-1.11034e-017
5.75088e-017
-2.87912e-017
1.3291e-017
-9.54692e-017
-6.72487e-017
1.37472e-017
-8.60538e-017
-6.79579e-017
2.68244e-017
6.5927e-017
6.43911e-017
-4.58797e-017
-2.12782e-017
1.79582e-016
6.20466e-018
-8.14023e-017
-4.45781e-017
-6.27975e-017
3.67461e-018
-1.08556e-016
8.22137e-017
1.77242e-016
1.17249e-016
1.8044e-017
-2.12496e-017
-8.3733e-018
-5.1903e-017
-1.95792e-017
1.22789e-018
-1.44268e-016
-2.66811e-016
-5.38451e-017
-1.18005e-016
-1.58187e-016
1.27041e-016
1.19652e-016
-2.88552e-017
-3.78438e-017
-7.48148e-017
5.5387e-017
6.59738e-017
8.79927e-017
-6.53508e-017
-4.94669e-017
2.07483e-017
7.46453e-017
5.17834e-017
5.86676e-017
5.56347e-017
6.91864e-017
-1.14961e-018
1.12873e-017
7.61539e-017
1.2255e-017
1.69372e-016
1.11468e-016
1.05469e-016
1.15439e-016
-7.63665e-017
2.97258e-017
5.8363e-017
4.31681e-017
4.8002e-017
-1.6356e-016
1.78164e-016
-1.36079e-017
-1.94094e-016
-3.31219e-017
2.58073e-017
1.38813e-016
7.37117e-017
2.41525e-017
1.30924e-016
2.52603e-016
2.10123e-017
1.13653e-017
5.53257e-017
-1.78113e-017
3.72031e-017
1.05802e-016
-5.75125e-017
1.03558e-016
-1.05534e-016
2.73278e-016
1.37021e-016
4.36975e-017
1.11157e-016
1.62372e-016
1.63043e-017
-8.56688e-017
-2.07631e-017
1.37427e-016
1.51356e-016
1.88474e-016
1.77398e-016
-1.32757e-016
-2.01552e-016
-1.43954e-016
5.13394e-017
1.20337e-016
3.0973e-017
7.38373e-017
7.4446e-017
-1.57555e-016
-1.97417e-016
-6.54865e-017
-1.44844e-016
-1.80948e-018
-5.32569e-017
-3.84396e-018
2.67717e-017
-1.94569e-017
-9.55789e-017
-8.4913e-017
1.22042e-016
1.73466e-016
-9.62708e-017
-7.05467e-017
-2.08602e-016
-3.49146e-017
1.65329e-016
-6.98805e-017
4.07214e-017
-3.62098e-017
6.21834e-017
-1.31468e-016
5.78047e-017
1.91099e-017
-8.59074e-017
-4.75999e-017
-3.2273e-017
1.31301e-016
-1.70619e-016
2.22045e-016
9.34347e-017
3.30758e-017
-1.69681e-016
-1.67279e-016
-1.07387e-016
-1.3351e-017
-9.91575e-018
-9.09135e-018
3.63013e-017
-1.05544e-016
-2.78344e-016
-1.01358e-016
-3.35007e-017
-2.59047e-016
1.68017e-018
2.95224e-018
-1.85605e-016
1.49646e-016
-8.63702e-017
-3.21015e-018
1.61359e-017
-5.17249e-017
1.73988e-017
-6.09344e-017
9.3845e-017
-1.67486e-016
6.42238e-017
-1.25483e-016
2.86815e-017
2.46062e-017
1.3825e-017
2.37788e-016
-5.25831e-017
4.82034e-017
1.5579e-016
1.52547e-017
3.32564e-017
1.8182e-016
5.05074e-017
3.64407e-017
1.06732e-016
-6.28747e-017
-5.43138e-017
2.74223e-017
